city	state	code	address
Indianapolis	Indiana	IND	6900 West Hanna Avenue Indianapolis, IN 46241
Jackson	Kentucky	JKL	1329 Airport Road Jackson, KY 41339
Jackson	Mississippi	JAN	234 Weather Service Dr, Flowood, MS 39232
Jacksonville	Florida	JAX	13701 Fang Dr, Jacksonville, FL 32218
Juneau	Alaska	AJK	8500 Mendenhall Loop Rd, Juneau, AK 99801
Kansas City/Pleasant Hill	Missouri	EAX	1803 North 7 Highway Pleasant Hill, MO 64080
Key West	Florida	KEY	1315 White St, Key West, FL 33040
La Crosse	Wisconsin	ARX	N2788 County Road FA La Crosse, WI 54601
Lake Charles	Louisiana	LCH	500 Airport Blvd, Lake Charles, LA 70607
Las Vegas	Nevada	VEF	7851 Dean Martin Dr, Las Vegas, NV 89139
Lincoln	Illinois	ILX	1362 State Route 10 Lincoln, IL 62656
Little Rock	Arkansas	LZK	8400 Remount Rd, North Little Rock, AR 72118
Los Angeles/Oxnard	California	LOX	520 N Elevar St, Oxnard, CA 93030
Louisville	Kentucky	LMK	6201 Theiler Lane Louisville, KY 40229
Lubbock	Texas	LUB	2579 S Loop 289 #100, Lubbock, TX 79423
Marquette	Michigan	MQT	112 Airpark Drive South Negaunee, MI 49866
Medford	Oregon	MFR	4003 Cirrus Dr, Medford, OR 97504
Melbourne	Florida	MLB	421 Croton Rd, Melbourne, FL 32901
Memphis	Tennessee	MEG	7777 Walnut Grove Rd #1, Memphis, TN 38120
Miami	Florida	MFL	11691 SW 17th Street Miami, FL 33165
Midland/Odessa	Texas	MAF	2500 Challenger Dr, Midland, TX 79706
Milwaukee/Sullivan	Wisconsin	MKX	N3533 Hardscrabble Road Dousman, WI 53118
Missoula	Montana	MSO	6633 Aviation Way, Missoula, MT 59808
Mobile/Pensacola	Alabama	MOB	8400 Airport Blvd #11, Mobile, AL 36608
Morristown/Knoxville	Tennessee	MRX	5974 Commerce Blvd, Morristown, TN 37814
Mount Holly/Philadelphia	New Jersey	PHI	732 Woodlane Rd, Mt Holly, NJ 08060
Nashville	Tennessee	OHX	500 Weather Station Rd, Old Hickory, TN 37138
New Orleans/Baton Rouge	Louisiana	LIX	62300 Airport Rd. Slidell, LA 70460
New York/Upton	New York	OKX	175 Brookhaven Ave, Upton, NY 11973
Newport/Morehead City	North Carolina	MHX	533 Roberts Rd, Newport, NC 28570
Norman/Oklahoma City	Oklahoma	OUN	120 David L. Boren Blvd. Suite 2400, Norman, OK 73072
North Platte	Nebraska	LBF	5250 E. Lee Bird Drive North Platte, NE 69101
Northern Indiana	Indiana	IWX	7506 E 850 N Syracuse, IN 46567
Omaha/Valley	Nebraska	OAX	6707 North 288th Street Valley, NE 68064
Paducah	Kentucky	PAH	8250 Kentucky Highway 3520 West Paducah, KY 42086
Peachtree City/Atlanta	Georgia	FFC	4 Falcon Dr, Peachtree City, GA 30269
Pendleton	Oregon	PDT	2001 NW 56th St, Pendleton, OR 97801
Phoenix	Arizona	PSR	2727 E Washington St, NWS PAB 1TA, Phoenix, AZ 85034[10]
Pittsburgh	Pennsylvania	PBZ	192 Shafer Rd, Coraopolis, PA 15108
Pocatello	Idaho	PIH	1945 Beechcraft Ave, Pocatello, ID 83204
Portland	Oregon	PQR	5241 NE 122nd Ave, Portland, OR 97230
Pueblo	Colorado	PUB	3 Eaton Way Pueblo, CO 81001
Raleigh	North Carolina	RAH	1005 Capability Dr #300, Raleigh, NC 27606
Rapid City	South Dakota	UNR	300 East Signal Drive Rapid City, SD 57701
Reno	Nevada	REV	2350 Raggio Pkwy, Reno, NV 89512
Riverton	Wyoming	RIW	12744 West US Highway 26 Riverton, WY 82501
Sacramento	California	STO	3310 El Camino Ave # 228, Sacramento, CA 95821
Salt Lake City	Utah	SLC	2242 W North Temple, Salt Lake City, UT 84116
San Angelo	Texas	SJT	7654 Knickerbocker Rd, San Angelo, TX 76904
San Diego	California	SGX	11440 W Bernardo Ct #230, San Diego, CA 92127
San Francisco Bay Area/Monterey	California	MTR	21 Grace Hopper Ave, Monterey, CA 93943
San Joaquin Valley/Hanford	California	HNX	900 Foggy Bottom Rd, Hanford, CA 93230
San Juan	Puerto Rico	SJU	5000 Expreso Román Baldorioty de Castro, Carolina, PR 00979
Seattle	Washington	SEW	7600 Sand Point Way NE, Seattle, WA 98115 [11]
Shreveport	Louisiana	SHV	5655 Hollywood Ave, Shreveport, LA 71109
Sioux Falls	South Dakota	FSD	26 Weather Lane Sioux Falls, SD 57104
Spokane	Washington	OTX	2601 N Rambo Rd, Spokane, WA 99224
Springfield	Missouri	SGF	5805 West Highway EE Springfield, MO 65802
St. Louis	Missouri	LSX	12 Missouri Research Park Drive St. Charles, MO 63304
State College	Pennsylvania	CTP	328 Innovation Blvd, State College, PA 16803
Tallahassee	Florida	TAE	1017 Academic Way FSU, Love Bldg, 4th Floor, Tallahassee, FL 32306-4509
Tampa	Florida	TBW	2525 14th Ave SE, Ruskin, FL 33570
Topeka	Kansas	TOP	1116 NE Strait Avenue Topeka, KS 66616
Tucson	Arizona	TWC	520 N Park Ave #304, Tucson, AZ 85719
Tulsa	Oklahoma	TSA	10159 E 11th St #300, Tulsa, OK 74128
Wakefield	Virginia	AKQ	10009 General Mahone Hwy, Wakefield, VA 23888
Wichita	Kansas	ICT	2142 S. Tyler Road Wichita, KS 67209
Wilmington	North Carolina	ILM	2015 Gardner Dr, Wilmington, NC 28405
